team_a,team_b,a_score,b_score,margin,market_spread,model_spread,covered,won,stake,profit,note
UAB,East Carolina,,,,-15.76,2.5,,,0.0,0.0,score not found
Marist,Rider,71.0,49.0,22.0,-14.63,2.5,True,True,694.6600000000001,631.5154060000001,
Quinnipiac,Sacred Heart,70.0,60.0,10.0,-6.5,2.5,True,True,402.7600000000001,366.1491160000001,
Siena,Mount St. Mary's,,,,-5.86,2.5,,,0.0,0.0,score not found
Northwestern,Rutgers,75.0,77.0,-2.0,-8.17,-4.5,False,False,266.25999999999993,-266.25999999999993,
Illinois,Iowa,75.0,69.0,6.0,-3.13,2.5,True,True,265.42,241.29332200000002,
Northern Kentucky,Green Bay,78.0,80.0,-2.0,-1.99,2.5,False,False,198.64,-198.64,
Ohio St.,Washington,74.0,81.0,-7.0,0.4,2.5,False,False,120.94000000000013,-120.94000000000013,
Memphis,Florida Atlantic,78.0,89.0,-11.0,0.9,2.5,False,False,72.64000000000004,-72.64000000000004,
Purdue Fort Wayne,Robert Morris,79.0,74.0,5.0,2.82,2.5,True,True,10.900000000000077,9.90919000000007,
Charlotte,Rice,74.0,73.0,1.0,2.19,2.5,True,True,0.0,0.0,
