team_name,rank,ppg,fg_efficiency,three_point_rating,rebounding_rating,passing_rating,ball_security,overall_offensive_rating
Florida Gators,1,86.1,0.315,-0.14,1,0.583,0.45,0.442
Kennesaw State Owls,2,88.4,0.245,0.49,0.971,0.567,0.367,0.496
Charleston Southern Buccaneers,3,84.4,0.27,0.59,0.786,0.917,0.383,0.541
Arizona Wildcats,4,89.9,0.575,0.59,0.771,1,0.567,0.686
Saint Louis Billikens,5,91.2,0.585,0.84,0.743,1,0.45,0.713
Gonzaga Bulldogs,6,89.9,0.6,0.62,0.7,1,0.75,0.703
South Florida Bulls,7,90.2,0.195,0.38,0.7,0.917,0.583,0.5
Michigan Wolverines,8,92.7,0.585,0.57,0.671,1,0.467,0.66
Sam Houston Bearkats,9,84.6,0.33,0.62,0.657,0.683,0.433,0.526
Alabama Crimson Tide,10,93.1,0.29,0.5,0.657,0.75,0.867,0.549
Tennessee Volunteers,10,82.4,0.41,0.49,0.657,0.983,0.3,0.562
Georgia Bulldogs,12,94.8,0.365,0.2,0.614,0.55,0.617,0.47
Illinois Fighting Illini,13,85.3,0.355,0.52,0.586,0.467,0.883,0.528
Virginia Cavaliers,14,84,0.37,0.71,0.557,0.9,0.7,0.595
Cal State Northridge Matadors,15,81,0.24,0.22,0.543,0.767,0.25,0.406
Michigan State Spartans,16,78.5,0.36,0.53,0.514,1,0.45,0.55
Columbia Lions,17,80.6,0.45,0.57,0.5,0.7,0.233,0.52
Western Kentucky Hilltoppers,18,79.8,0.04,0.35,0.5,0.183,0.767,0.319
UT Martin Skyhawks,19,72.9,0.16,0.13,0.5,0.25,0,0.256
UAB Blazers,20,83.1,0.265,-0.03,0.486,0.467,0.983,0.4
Winthrop Eagles,21,84.9,0.235,0.49,0.471,0.483,0.683,0.44
Louisville Cardinals,22,87.9,0.345,0.51,0.471,0.983,0.617,0.554
Wichita State Shockers,23,78,0.22,0.63,0.457,-0.067,0.783,0.378
UNC Wilmington Seahawks,24,78.3,0.26,0.52,0.443,0.267,0.767,0.422
Mississippi State Bulldogs,25,78.8,0.22,0.03,0.414,0.1,0.633,0.291
Texas Longhorns,26,86,0.425,0.36,0.4,0.15,0.617,0.421
Coastal Carolina Chanticleers,27,73.4,0.05,0.36,0.4,-0.2,0.75,0.25
North Carolina Tar Heels,28,82.4,0.41,0.41,0.386,0.85,0.8,0.538
California Baptist Lancers,29,73.1,0.185,0.12,0.343,-0.167,0.4,0.221
Weber State Wildcats,30,83.3,0.34,0.55,0.343,0.45,0.483,0.44
Lindenwood Lions,31,79.9,0.325,-0.01,0.329,0.583,0.267,0.342
Fordham Rams,32,71.7,0.25,-0.09,0.329,0.483,0.533,0.317
BYU Cougars,33,86.6,0.445,0.51,0.329,0.517,0.667,0.501
Stephen F. Austin Lumberjacks,34,78.1,0.25,0.52,0.314,0.417,0.883,0.429
UC Irvine Anteaters,35,77.6,0.335,0.47,0.3,0.717,0.433,0.452
Duke Blue Devils,36,85.5,0.49,0.47,0.286,0.933,0.583,0.554
Towson Tigers,37,69.3,0.1,-0.18,0.286,-0.25,0.583,0.141
Furman Paladins,38,77.1,0.345,0.1,0.271,0.75,0.4,0.394
Louisiana Tech Bulldogs,39,67.7,0.165,-0.1,0.257,0.017,0.583,0.206
Saint Mary's Gaels,40,78.8,0.335,0.74,0.243,0.55,0.65,0.493
Troy Trojans,41,86.7,0.3,0.58,0.243,0.833,0.417,0.468
Arkansas State Red Wolves,42,83,0.245,0.22,0.243,0.533,0.133,0.325
Butler Bulldogs,42,83.4,0.34,0.43,0.243,0.717,0.483,0.447
Kent State Golden Flashes,44,90.8,0.4,0.65,0.229,1,0.183,0.515
Baylor Bears,45,86.3,0.445,0.66,0.229,0.783,0.567,0.535
Georgia Tech Yellow Jackets,46,75.6,0.26,0.63,0.214,0.8,0.2,0.426
Saint Joseph's Hawks,46,74.4,0.115,-0.14,0.214,0.533,0.433,0.251
Western Carolina Catamounts,48,77.1,0.19,0.18,0.214,0.217,0.3,0.258
Kansas Jayhawks,49,77.8,0.355,0.62,0.214,0.517,0.767,0.48
Mercer Bears,50,85.4,0.34,0.41,0.214,0.483,0.65,0.423
